MKA Blade Inspection Log -- 2026-06-01T14:52:09.358732
======================================================================

EVENT LOG
---------
[14:49:18] START Calibration inspection recording started (angle-change gated, peak-sharpness mode)
[14:49:18] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:18] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:18] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:18] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:18] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:19] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:19] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:19] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:19] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:19] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:19] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:19] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:19] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:19] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:20] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:20] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:20] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:20] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:20] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:20] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:20] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:20] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:20] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:21] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:21] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:21] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:21] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:21] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:21] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:21] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:21] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:21] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:22] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:22] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:22] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:22] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:22] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:22] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:22] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:22] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:22] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:23] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:23] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:23] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:23] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:23] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:23] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:23] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:23] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:23] ERR   sample error: not enough values to unpack (expected 6, got 3)
